stock,name,type,type_idx
0050,元大台灣50,ETF,0
0051,元大中型100,ETF,0
0052,富邦科技,ETF,0
0053,元大電子,ETF,0
0054,元大台商50,ETF,0
0055,元大MSCI金融,ETF,0
0056,元大高股息,ETF,0
0057,富邦摩台,ETF,0
0061,元大寶滬深,ETF,0
006203,元大MSCI台灣,ETF,0
006204,永豐臺灣加權,ETF,0
006205,富邦上証,ETF,0
006206,元大上證50,ETF,0
006207,FH滬深,ETF,0
006208,富邦台50,ETF,0
00625K,富邦上証+R,ETF,0
00631L,元大台灣50正2,ETF,0
00632R,元大台灣50反1,ETF,0
00633L,富邦上証正2,ETF,0
00634R,富邦上証反1,ETF,0
00635U,期元大S&P黃金,ETF,0
00636,國泰中國A50,ETF,0
00636K,國泰中國A50+U,ETF,0
00637L,元大滬深300正2,ETF,0
00638R,元大滬深300反1,ETF,0
00639,富邦深100,ETF,0
00640L,富邦日本正2,ETF,0
00641R,富邦日本反1,ETF,0
00642U,期元大S&P石油,ETF,0
00643,群益深証中小,ETF,0
00643K,群益深証中小+R,ETF,0
00645,富邦日本,ETF,0
00646,元大S&P500,ETF,0
00647L,元大S&P500正2,ETF,0
00648R,元大S&P500反1,ETF,0
00650L,FH香港正2,ETF,0
00651R,FH香港反1,ETF,0
00652,富邦印度,ETF,0
00653L,富邦印度正2,ETF,0
00654R,富邦印度反1,ETF,0
00655L,國泰中國A50正2,ETF,0
00656R,國泰中國A50反1,ETF,0
00657,國泰日經225,ETF,0
00657K,國泰日經225+U,ETF,0
00660,元大歐洲50,ETF,0
00661,元大日經225,ETF,0
00662,富邦NASDAQ,ETF,0
00663L,國泰臺灣加權正2,ETF,0
00664R,國泰臺灣加權反1,ETF,0
00665L,富邦恒生國企正2,ETF,0
00666R,富邦恒生國企反1,ETF,0
00668,國泰美國道瓊,ETF,0
00668K,國泰美國道瓊+U,ETF,0
00669R,國泰美國道瓊反1,ETF,0
00670L,富邦NASDAQ正2,ETF,0
00671R,富邦NASDAQ反1,ETF,0
00673R,期元大S&P原油反1,ETF,0
00674R,期元大S&P黃金反1,ETF,0
00675L,富邦臺灣加權正2,ETF,0
00676R,富邦臺灣加權反1,ETF,0
00678,群益NBI生技,ETF,0
00680L,元大美債20正2,ETF,0
00681R,元大美債20反1,ETF,0
00682U,期元大美元指數,ETF,0
00683L,期元大美元指正2,ETF,0
00684R,期元大美元指反1,ETF,0
00685L,群益臺灣加權正2,ETF,0
00686R,群益臺灣加權反1,ETF,0
00688L,國泰20年美債正2,ETF,0
00689R,國泰20年美債反1,ETF,0
00690,兆豐藍籌30,ETF,0
00692,富邦公司治理,ETF,0
00693U,期街口S&P黃豆,ETF,0
00700,富邦恆生國企,ETF,0
00701,國泰股利精選30,ETF,0
00702,國泰標普低波高息,ETF,0
00703,台新MSCI中國,ETF,0
00706L,期元大S&P日圓正2,ETF,0
00707R,期元大S&P日圓反1,ETF,0
00708L,期元大S&P黃金正2,ETF,0
00709,富邦歐洲,ETF,0
00710B,FH彭博非投等債,ETF,0
00711B,FH彭博新興債,ETF,0
00712,FH富時不動產,ETF,0
00713,元大台灣高息低波,ETF,0
00714,群益道瓊美國地產,ETF,0
00715L,期街口S&P布蘭特油正2,ETF,0
00717,富邦美國特別股,ETF,0
00728,第一金工業30,ETF,0
00730,富邦臺灣優質高息,ETF,0
00731,FH富時高息低波,ETF,0
00732,國泰RMB短期報酬,ETF,0
00733,富邦臺灣中小,ETF,0
00735,國泰臺韓科技,ETF,0
00736,國泰新興市場,ETF,0
00737,國泰AI+ROBO,ETF,0
00738U,期元大道瓊白銀,ETF,0
00739,元大MSCI A股,ETF,0
00743,國泰中國A150,ETF,0
00752,中信中國50,ETF,0
00753L,中信中國50正2,ETF,0
00757,統一FANG+,ETF,0
00762,元大全球AI,ETF,0
00763U,期街口道瓊銅,ETF,0
00770,國泰北美科技,ETF,0
00771,元大US高息特別股,ETF,0
00774B,新光中國政金綠債,ETF,0
